Date,AL,AK,GA,AZ,AR,CA,CO,CT,DE,FL,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2014,4843737,737075,10071204,6732873,2968759,38586706,5352637,3595697,933131,19853880,1415335,1632248,12885092,6596019,3110643,2901861,4416992,4645938,1331217,5960064,6764864,9932033,5452665,2991892,6059130,1022657,1879955,2818935,1334257,8867277,2090236,19653431,9937295,738736,11606573,3879187,3965447,12792392,1056511,4826858,849670,6544617,26963092,2938327,625693,8315430,7057531,1850569,5753199,583159
2015,4854803,738430,10183353,6832810,2979732,38904296,5454328,3588561,942065,20219111,1422999,1652495,12859585,6611442,3122541,2910717,4429126,4666998,1329098,5988528,6797484,9934483,5484002,2990231,6075411,1031495,1892059,2868531,1337480,8870312,2090071,19657321,10037218,755537,11622315,3910518,4018542,12789838,1056886,4896006,854663,6595354,27468531,2983626,625810,8367303,7167287,1843332,5762927,586389
2016,4866824,742575,10308442,6944767,2991815,39149186,5543844,3579830,949989,20627237,1428885,1684036,12821709,6637898,3133210,2912977,4440306,4681346,1332348,6007014,6827280,9954117,5525360,2990595,6091384,1042137,1906483,2919555,1343694,8873584,2092555,19636391,10161802,756114,11640060,3928143,4093271,12788468,1057816,4963031,863693,6651277,27914064,3044241,624366,8417651,7299961,1832435,5775170,585243
2017,4877989,740983,10417031,7048088,3003855,39337785,5617421,3575324,957942,20977089,1425763,1719745,12779893,6662068,3143734,2910892,4455590,4673673,1335743,6028186,6863560,9976752,5569283,2990674,6111382,1053862,1916998,2972097,1350395,8888147,2092844,19593849,10275758,756755,11665706,3933602,4147294,12794679,1056554,5027102,873732,6714748,28291024,3103540,625132,8471011,7427951,1818683,5793147,579994
2018,4891628,736624,10519389,7164228,3012161,39437463,5697155,3574561,966985,21254926,1423102,1752074,12724685,6698481,3149900,2912748,4464273,4664450,1340123,6042153,6885720,9987286,5608762,2982879,6125986,1061818,1925512,3030725,1355064,8891730,2093754,19544098,10391358,760062,11680892,3943488,4183538,12809107,1059338,5091702,879386,6778180,28624564,3155153,624802,8510920,7526793,1805953,5809319,579054
2019,4907965,733603,10628020,7291843,3020985,39437610,5758486,3566022,976668,21492056,1415615,1789060,12667017,6731010,3159596,2912635,4472345,4658285,1345770,6054954,6894883,9984795,5640053,2978227,6140475,1070123,1932571,3090771,1360783,8891258,2099634,19463131,10501384,763724,11696507,3960676,4216116,12798883,1058158,5157702,887127,6830325,28986794,3203383,624046,8556642,7614024,1795263,5824581,580116
2020,5031864,732964,10732390,7186683,3014348,39503200,5785219,3577586,991862,21591299,1451181,1849339,12790357,6789098,3190904,2938124,4508155,4652022,1364517,6173689,6997713,10070627,5710578,2958409,6154426,1087211,1963273,3115840,1378702,9272392,2118488,20104710,10453812,779563,11798292,3965234,4245044,12995477,1096444,5132151,887852,6926091,29234361,3283982,642936,8637193,7724566,1791562,5896700,577664
2021,5050380,734923,10790385,7272487,3028443,39145060,5811596,3603691,1004881,21830708,1446745,1904537,12690341,6813798,3197944,2937946,4507600,4627047,1378787,6175045,6991951,10038117,5717968,2949582,6170393,1106366,1964253,3146632,1387494,9269175,2116950,19854526,10567100,777982,11765227,3991634,4256465,13013614,1097092,5193848,896299,6963709,29561286,3339284,647093,8657348,7741433,1785249,5879978,579548
2022,5073903,733276,10913150,7365684,3046404,39040616,5841039,3608706,1019459,22245521,1439399,1938996,12582515,6832274,3199693,2936716,4511563,4588023,1389338,6163981,6982740,10033281,5714300,2938928,6177168,1122878,1968060,3177421,1399003,9260817,2113476,19673200,10695965,778912,11759697,4019271,4239379,12972091,1093842,5282955,909869,7048976,30029848,3381236,647110,8679099,7784477,1774035,5890543,581629
2023,5108468,733406,11029227,7431344,3067732,38965193,5877610,3617176,1031890,22610726,1435138,1964726,12549689,6862199,3207004,2940546,4526154,4573749,1395722,6180253,7001399,10037261,5737915,2939690,6196156,1132812,1978379,3194176,1402054,9290841,2114371,19571216,10835491,783926,11785935,4053824,4233358,12961683,1095962,5373555,919318,7126489,30503301,3417734,647464,8715698,7812880,1770071,5910955,584057
